prompt,response,domain
"Gặp người lớn tuổi lần đầu, mình phải xưng hô thế nào cho phải phép?","Nguyên tắc là xưng hô theo vai vế tuổi tác, lịch sự nhất là xưng cháu nếu họ cùng tuổi bố mẹ mình, xưng em nếu họ là anh chị mình. Khi không rõ, cứ xưng con hoặc cháu cho an toàn, kết hợp chào hỏi cúi đầu nhẹ. Thà xưng khiêm tốn một chút còn hơn xưng ngang vai vế.","casual"
"Nhà em có khách là người lớn tuổi tới chơi. Em nên tiếp đãi thế nào cho chuẩn?","Khi khách lớn tuổi tới, mở cửa chào, mời vào, xin phép bố mẹ rồi rót nước mời trước, dùng hai tay đưa cho khách, không đưa một tay. Ngồi chỗ khuất, thỉnh thoảng hỏi khách uống thêm nước. Khi khách về, ra cửa chào tiễn. Lễ phép với khách là tấm gương cho mình sau này.","casual"
"Nghe nói mời trầu là tục lệ cổ của người Việt. Giờ còn ai dùng nữa không?","Trầu cau từng là lễ vật không thể thiếu trong cưới hỏi, tiếp khách vì trầu têm cánh phượng tượng trưng cho tình nghĩa vợ chồng. Giờ người trẻ ít ăn trầu, nhưng trong đám cưới, lễ ăn hỏi vẫn bắt buộc có tráp trầu cau. Nó không còn phổ biến hằng ngày nhưng vẫn là biểu tượng văn hóa bền vững.","casual"
"Khi cục lớn mời mình uống trà, cầm tách thế nào cho lịch sự?","Cầm tách trà bằng tay phải, tay trái đỡ nhẹ đáy tách, uống từng ngụm nhỏ, không kêu chùn chụt. Trước khi uống có thể ngửi hương trà một chút cho phải phép. Uống xong để tách nhẹ nhàng xuống bàn, không để đổ. Nếu cục rót thêm, cảm ơn rồi uống tiếp, không từ chối thô bạo.","casual"
"Em sắp đi ăn tiệc với gia đình người yêu lần đầu. Nên mời rượu như thế nào cho không bị quê?","Đừng gắng sức mời lung tung. Khi nâng ly, dùng hai tay, ly thấp hơn ly người lớn tuổi, nói vài lời chúc sức khỏe ngắn gọn rồi uống hết ly nhỏ. Không ép người khác uống, không tự ý rót rượu cho người lớn trước khi được mời. Quan trọng nhất là tươi cười, tự nhiên, không sợ sai.","casual"
"Cháu chào bà nội lần đầu gặp mặt mà chẳng biết nói gì cho khéo. Cho cháu mấy câu?","Chỉ cần cúi đầu chào và nói cháu chào bà, dạ cháu tên, cháu là bạn của ai đó. Xong bà hỏi gì trả lời nấy, không vội nói thêm. Nếu được mời ngồi thì ngồi, mời nước thì nhận lễ phép. Người lớn không cần cháu khéo léo, chỉ cần cháu biết tôn trọng là được.","casual"
"Trong bữa ăn gia đình, người Việt có những quy tắc ngầm gì mà mình phải nhớ?","Mời trước khi ăn, chờ người lớn tuổi gắp trước rồi mới gắp. Không dùng đũa gõ bát, không cắm đũa thẳng vào bát cơm vì giống hương trên bàn thờ, không chĩa đũa về phía người khác. Khi có người lớn tuổi dùng bữa, gắp thức ăn mời trước. Đây là nét tôn ti trật tự thể hiện qua từng chi tiết nhỏ.","casual"
"Bạn em có quan điểm sống khác hẳn gia đình. Giờ ngồi ăn cơm với bố mẹ, nói chuyện thế nào cho khéo?","Nguyên tắc là không tranh cãi trên mâm cơm. Nếu bố mẹ hỏi quan điểm, trả lời tôn trọng rồi nói nhẹ rằng con nghĩ khác một chút, để con giải thích sau nếu thật sự cần. Ăn cơm là dịp sum họp, đừng biến thành diễn đàn tranh luận. Quan điểm khác thì nói chuyện riêng lúc thoải mái.","casual"
"Cách xưng hô trong gia đình người miền Nam với miền Bắc có gì khác không?","Có chút khác. Miền Bắc chuộng xưng anh chị theo vai vế máu mủ, miền Nam lại phổ biến xưng anh Hai, chị Hai gọi theo thứ tự anh chị trong nhà, còn cô dì chú bác thì mỗi nơi gọi hơi khác nhau. Người miền Nam hay gọi chồng vợ là ba má nó, miền Bắc thì bố mẹ. Về cơ bản đều tôn trọng vai vế.","casual"
"Em hay quên chào hỏi người lớn trong xóm. Làm sao để sửa thói này?","Cách đơn giản nhất là tạo thói quen: ra khỏi nhà gặp ai cũng cười và chào trước, đừng chờ họ chào mình. Đặt mục tiêu mỗi ngày chào ít nhất hai người lớn trong xóm, sau một tháng thành phản xạ. Người lớn không mong gì hơn câu dạ con chào bác, vừa giữ nề nếp gia đình vừa dễ gây thiện cảm.","casual"
