"prompt","response","domain"
"Tủ lạnh nhà em máy vẫn chạy mà không lạnh, thức ăn sắp hư rồi, giờ sao?","Kiểm tra cửa tủ có đóng kín, gioăng có bị hở không. Lau lớp tuyết dày ở ngăn đá, xem bảng nhiệt độ có để số thấp nhất không. Vẫn không lạnh thì nghe xem máy nén có chạy không, nghi hỏng ga, gọi thợ.","casual"
"Máy giặt nhà em khi vắt kêu ầm ầm, rung cả nhà, bị gì vậy anh?","Kiểm tra máy có thăng bằng không, chỉnh chân vít lại cho chắc. Có thể do lò xo giảm chấn yếu hoặc vòng bi mòn. Nếu kêu gầm gừ là bi hỏng, phải thay, nên gọi thợ chuyên máy giặt.","casual"
"Điều hòa bật mãi mà không mát, gió ra chỉ hơi lạnh, em nghi bị gì rồi?","Vệ sinh lưới lọc trước đã, dàn nóng ngoài trời bám bụi cũng khiến không mát. Nếu gió lạnh lờ lờ mà dàn nóng không nóng là hết ga, gọi thợ bơm ga và kiểm tra rò rỉ.","casual"
"Nồi cơm điện nhà em nấu mà cơm không chín, đèn vẫn báo nấu, hỏng chỗ nào?","Kiểm tra mâm nhiệt dưới đáy nồi, nếu bị móp hoặc bẩn thì không tiếp xúc được với đáy. Lau sạch và nắn lại. Còn lại là rơ le nhiệt hỏng, thay linh kiện vài chục nghìn, đưa ra tiệm sửa.","casual"
"Bình nóng lạnh nhà em bật mà không có nước nóng, đèn báo sáng rồi mà sao lạnh toát?","Kiểm tra van cấp nước và đường ống, bình cạn nước là tự ngắt điện an toàn. Nếu đầy nước mà không nóng là thanh điện trở cháy, gọi thợ thay. Đừng tự tháo khi chưa ngắt nguồn và xả hết nước.","casual"
"Tủ lạnh nhà em tự nhiên kêu to như tiếng gầm, có phải sắp hỏng không?","Kêu to thường do quạt gió bị bám bụi hoặc lệch trục, vệ sinh là êm. Nếu tiếng kêu từ cuối tủ là máy nén, có thể do giàn nóng tản nhiệt kém. Để thông thoáng sau lưng tủ, còn không thì gọi thợ.","casual"
"Máy giặt giặt xong không vắt, đồ ướt sũng, nó báo lỗi hoài, sao đây?","Kiểm tra lồng giặt có bị kẹt đồ như vớ, cúc áo không. Máy không đủ nước xả cũng không vắt. Còn lỗi báo thì chụp mã lỗi lại rồi tra hoặc gọi thợ, thường là hư bo mạch hoặc công tắc nắp.","casual"
"Điều hòa nhà em chảy nước ròng ròng xuống tường, xử lý sao?","Nguyên nhân chính là ống thoát nước bị tắc hoặc lắp bị bẹp. Thổi sạch ống hoặc dùng dây thông. Máy lạnh quá bẩn dàn lạnh cũng chảy nước, vệ sinh định kỳ 3 tháng một lần cho khỏi.","casual"
"Lò vi sóng nhà em quay đồ mà không nóng, xoay đều nhưng đồ vẫn lạnh, hỏng gì?","Nếu vẫn xoay có đèn mà không nóng là hỏng đèn cao áp hoặc magnetron. Hai thứ này gây nguy hiểm điện áp cao, đừng tự mở. Mang ra tiệm sửa hoặc thay lò, chi phí thay linh kiện gần bằng mua mới.","casual"
"Bàn là nhà em cắm vào không nóng lên, thấy đèn không sáng, giờ sao?","Kiểm tra dây nguồn có bị đứt ngầm chỗ gần phích cắm không, hay chỗ gập vào thân bàn là. Nếu dây ổn thì hư rơ le nhiệt hoặc dây mayso, mang ra tiệm điện sửa, vài chục nghìn.","casual"
