prompt,response,domain
Vì sao bầu trời ban ngày lại có màu xanh lam?,"Ánh sáng mặt trời gồm nhiều màu, khi đi qua khí quyển thì ánh sáng xanh có bước sóng ngắn bị phân tán mạnh hơn các màu khác. Mắt chúng ta nhìn thấy phần ánh sáng bị tán xạ này từ khắp bầu trời nên thấy trời xanh. Lúc hoàng hôn, ánh sáng đi qua lớp khí quyển dày hơn nên chỉ còn lại màu đỏ cam.",other
Tết Nguyên đán có ý nghĩa gì đối với người Việt?,"Tết Nguyên đán là dịp đầu năm âm lịch, đánh dấu sự chuyển giao giữa năm cũ và năm mới. Với người Việt, Tết là thời điểm sum họp gia đình, tưởng nhớ tổ tiên, gác lại chuyện buồn và cầu mong một năm may mắn, đủ đầy. Các phong tục như dọn nhà, gói bánh chưng, xông đất đều mang ý nghĩa đón vận khí mới.",other
Nước sôi ở 100 độ C có phải lúc nào cũng vậy không?,"Không hẳn. Nước sôi ở 100 độ C tương ứng với áp suất chuẩn ở mực nước biển. Lên núi cao, áp suất khí quyển thấp hơn nên nước sôi sớm hơn, trên đỉnh cao có thể sôi ở 85–90 độ C. Vì vậy nấu ăn ở nơi cao thường lâu chín hơn. Nếu áp suất tăng lên thì nhiệt độ sôi cũng tăng theo.",other
Vitamin D có tác dụng gì và lấy từ đâu?,"Vitamin D giúp cơ thể hấp thu canxi, giữ xương chắc khỏe, hỗ trợ hệ miễn dịch và điều hòa tâm trạng. Cơ thể tự tổng hợp vitamin D khi da tiếp xúc ánh nắng buổi sáng sớm. Nguồn thực phẩm gồm cá béo như cá hồi, lòng đỏ trứng, gan, sữa và nấm. Thiếu hụt kéo dài dễ dẫn đến loãng xương và mệt mỏi.",other
Vì sao mèo hay cào móng vào đồ đạc?,"Cào móng là bản năng tự nhiên của mèo. Thứ nhất giúp mèo mài mòn lớp vỏ ngoài của móng, loại bỏ lớp sừng cũ; thứ hai là cách mèo đánh dấu lãnh thổ vì tuyến mồ hôi ở chân để lại mùi riêng; thứ ba giúp mèo vươn vai thư giãn. Cung cấp trụ cào sẽ giúp cứu đồ đạc trong nhà.",other
Mặt trăng có tự phát sáng không?,"Không, mặt trăng không tự phát sáng. Ánh sáng ta thấy là ánh sáng mặt trời phản chiếu từ bề mặt mặt trăng. Mặt trăng tròn khi toàn bộ phần sáng hướng về trái đất, và lưỡi liềm khi chỉ một phần nhỏ được chiếu sáng. Các pha trăng đơn giản là sự thay đổi góc nhìn giữa mặt trăng, trái đất và mặt trời.",other
Phong tục gói bánh chưng bánh tét ngày Tết mang ý nghĩa gì?,"Bánh chưng hình vuông tượng trưng cho đất, bánh giầy hình tròn tượng trưng cho trời, thể hiện quan niệm người xưa về trời đất và lòng biết ơn. Bánh tét hình trụ ở miền Nam cũng mang ý nghĩa tương tự. Việc gói bánh ngày Tết là dịp cả nhà quây quần, gìn giữ nét văn hóa cổ truyền và tưởng nhớ tổ tiên.",other
Vì sao chuối chín lại chuyển từ xanh sang vàng?,"Khi chuối chín, enzyme phá vỡ chất diệp lục (chlorophyll) khiến màu xanh biến mất, đồng thời tinh bột chuyển hóa thành đường nên vị ngọt hơn. Các sắc tố carotenoid màu vàng vốn bị diệp lục che khuất từ trước lộ ra rõ hơn. Quá trình này còn tạo khí ethylene giúp trái cây chín đều.",other
Lễ hội Đền Hùng diễn ra vào thời điểm nào trong năm?,"Lễ hội Đền Hùng diễn ra hằng năm vào ngày mùng 10 tháng 3 âm lịch tại núi Nghĩa Lĩnh, Phú Thọ. Đây là dịp tưởng nhớ công đức của các Vua Hùng, những người có công dựng nước. Nghi lễ quan trọng nhất là dâng hương tại đền Thượng, thu hút hàng vạn người dân cả nước về tham dự, thể hiện đạo lý uống nước nhớ nguồn.",other
Tại sao con người cần ngủ mỗi đêm?,"Ngủ giúp não củng cố trí nhớ, xử lý thông tin và thải độc tích tụ trong ngày. Cơ thể tái tạo mô, điều hòa hormone và tăng cường miễn dịch khi ngủ sâu. Ngủ đủ 7–9 tiếng giúp tập trung tốt, tâm trạng ổn định, còn thiếu ngủ kéo dài làm suy giảm trí nhớ, dễ rối loạn chuyển hóa và giảm tuổi thọ.",other
