"prompt","response","casual"
"Con em 6 tháng bắt đầu ăn dặm, nên cho ăn bột ngọt trước hay bột mặn trước ạ?","Bắt đầu từ vị ngọt: bột gạo trắng, bột ngô, bí đỏ nghiền. Sau 2-3 tuần quen rồi mới chuyển sang vị mặn như cháo thịt băm, cá, rau. Đừng vội cho con ăn mặn sớm vì thận còn yếu. Cứ 1 vị mới trong 3 ngày để xem con có dị ứng không.","casual"
"Bé nhà em 2 tháng chiều nào cũng khóc dữ, ôm ru vẫn khóc, con có bị bệnh gì không?","Rất có thể là quấy khóc do hệ tiêu hóa chưa hoàn thiện, hay còn gọi là colic. Nó thường tự hết khi con được 3-4 tháng. Em thử ẵm con nằm sấp trên tay, mát-xa bụng, đắp khăn ấm hoặc đưa con ra ngoài nghe tiếng máy lạnh. Vẫn khóc dữ kèm sốt hay bú kém thì đưa đi khám.","casual"
"Con 3 tháng ngủ ngày nhiều, ban đêm thức chơi, làm sao đảo lại giấc cho con?","Ban ngày đừng cho phòng quá tối, cứ để ánh sáng tự nhiên, chơi với con nhiều hơn. Giờ ăn ngày chia đều, trước khi ngủ đêm 1-2 tiếng tắm rửa, vỗ về, tắt đèn và giữ im lặng tuyệt đối. Làm đúng lịch đều đặn 2 tuần giấc sẽ tự đảo lại, đừng nản.","casual"
"Em đang cho bú mẹ bị tắc tia sữa, đau nhức lắm, xử lý sao cho nhanh?","Cho con bú cữ nào cũng phải bú bên tắc trước, cằm con hướng về chỗ cứng. Massage nhẹ từ ngoài vào núm vú trong lúc bú, chườm ấm trước khi bú, chườm mát sau khi bú. Nếu sốt, đỏ, đau dữ tăng lên thì đi khám sớm, đừng để thành viêm tuyến vú.","casual"
"Bé 1 tuổi nhà em lười ăn, chỉ thích bú sữa, có nên cai bú cho con không?","Đừng cai bú đột ngột, con sẽ đói và càng biếng ăn. Cứ giảm cữ sữa dần, cho ăn trước khi bú, đổi món đa dạng, cho con tự bốc ăn để hứng thú. Lười ăn ở tuổi này thường chỉ là giai đoạn, quan trọng là con vẫn tăng cân đều.","casual"
"Em nghe nói ăn dặm kiểu Nhật tốt hơn kiểu truyền thống, thật không?","Không có kiểu nào hơn kiểu nào, chỉ khác cách tiếp cận. Kiểu Nhật chú trọng ăn riêng từng loại, ăn thô sớm để con tự nhai; kiểu truyền thống hay xay nhuyễn mọi thứ chung một bát. Quan trọng là con ăn đủ chất và không bị hóc. Em cứ thử và chọn cái nào con hợp.","casual"
"Con gái em 8 tháng chưa mọc răng nào, có đáng lo không?","Không đáng lo. Trẻ mọc răng sớm nhất 4 tháng, muộn nhất có thể đến 12-15 tháng vẫn bình thường. Quan trọng là con ăn, ngủ, tăng cân đều. Em chỉ cần kiểm tra vùng lợi xem có sưng đỏ không, giữ vệ sinh răng miệng. Nếu 18 tháng vẫn chưa mọc mới cần đi khám.","casual"
"Trẻ hay nôn trớ sau khi bú, em vỗ ợ hơi đúng cách thế nào?","Bế con áp vai thẳng đứng, tay đỡ đầu, vỗ nhẹ lưng từ dưới lên khoảng 10-15 phút sau mỗi cữ bú. Cho bú đừng để con nuốt hơi nhiều bằng cách ngậm đúng khớp ngậm. Sau bú giữ con thẳng ít nhất 20 phút rồi mới đặt nằm, kê đầu hơi cao.","casual"
"Bé 5 tháng nên dùng tã dán hay tã quần là hợp lý?","Ở tuổi này tã dán vẫn tiện hơn vì dễ thay, dễ chỉnh độ rộng và thấm hút tốt. Tã quần hợp với bé biết lẫy lật, bò, đi đứng nhiều. Nếu con lật nhiều làm khó thay tã thì chuyển sang tã quần cho khỏi tuột. Miễn là con không bị hăm và mặc thoải mái là được.","casual"
"Con 9 tháng bỗng dưng biếng ăn, không biết do mọc răng hay con bệnh gì?","Tuổi này biếng ăn sinh lý rất thường gặp: do mọc răng, do giai đoạn lười lạ, hoặc con thích tự khám phá đồ ăn hơn. Em thử đổi cách chế biến, cho con tự cầm ăn. Nếu con vẫn chơi, tỉnh táo, bú sữa bình thường thì đừng lo. Sốt cao, nôn trớ hay đi ngoài bất thường mới cần gặp bác sĩ.","casual"
