"prompt","response","domain"
"Gửi tiết kiệm kỳ hạn nào đang có lãi suất cao nhất?","Kỳ hạn dài 12–36 tháng thường lãi cao nhất, dao động quanh vài phần trăm tùy thời điểm và ngân hàng. Nhưng đừng gửi hết vào kỳ hạn dài, chia nhỏ thành 3–6–12 tháng để xoay vòng khi cần tiền gấp. So sánh lãi suất trên các app tổng hợp trước khi quyết định.","casual"
"Tôi nên chia lương hàng tháng theo tỷ lệ nào cho hợp lý?","Quy tắc 50/30/20 dễ áp dụng: 50% cho nhu cầu thiết yếu như ăn ở, đi lại, hóa đơn; 30% cho mong muốn như giải trí, mua sắm; 20% để tiết kiệm và trả nợ. Chưa quen thì bắt đầu với 10% tiết kiệm rồi tăng dần, quan trọng là giữ đều mỗi tháng.","casual"
"Quỹ khẩn cấp nên để bao nhiêu tiền là đủ?","Lý tưởng là 3–6 tháng chi phí sinh hoạt, thu nhập bấp bênh thì nâng lên 6 tháng. Mục đích chỉ để dùng khi mất việc, đau ốm, hỏng xe, không phải để mua sắm. Gửi quỹ này ở sổ tiết kiệm kỳ hạn ngắn hoặc tài khoản rút được ngay, đừng khóa dài hạn.","casual"
"Lãi suất tiết kiệm được tính như thế nào?","Lãi bằng số tiền gửi nhân lãi suất năm nhân số ngày thực gửi chia 365. Ví dụ 10 triệu lãi 5% một năm thì mỗi tháng lãi khoảng 41 nghìn. Lãi thường nhập vào gốc theo kỳ hạn, kỳ hạn càng dài lãi càng cao. Rút trước hạn chỉ được lãi không kỳ hạn, rất thấp.","casual"
"Gửi tiết kiệm online với ra quầy, cái nào lợi hơn?","Online lợi hơn rõ rệt: lãi suất thường cao hơn chút, mở và rút mọi lúc không cần xếp hàng. Ra quầy chỉ cần khi số tiền lớn cần xác minh giấy tờ. Cả hai đều được bảo hiểm tiền gửi dưới 125 triệu nên độ an toàn như nhau, cứ chọn kênh nào tiện.","casual"
"Tôi muốn tích lũy cho mục tiêu trong 2 năm nữa thì nên làm gì?","Chia mục tiêu ra tổng số tiền cần rồi tính số tiền gửi mỗi tháng. Ưu tiên gửi tiết kiệm kỳ hạn 6 hoặc 12 tháng, nhận lãi rồi gộp tiếp để lãi mẹ đẻ lãi con. Đừng đổ vào chứng khoán hay crypto vì rủi ro mất vốn khi mục tiêu có thời hạn cố định.","casual"
"Lãi kép hoạt động ra sao trong chuyện gửi tiết kiệm?","Lãi kép là khi lãi được cộng vào gốc rồi kỳ sau tính lãi trên cả phần đó. Gửi 10 triệu lãi 5% năm đầu được 500 nghìn, năm sau tính trên 10,5 triệu nên lãi 525 nghìn, cứ thế nhân lên. Càng gửi sớm và lâu thì tiền tăng càng nhanh, đừng rút lãi ra tiêu.","casual"
"Nên giữ tiền mặt hay gửi ngân hàng?","Chỉ giữ tiền mặt đủ chi tiêu 1–2 tuần, phần còn lại gửi ngân hàng sinh lãi. Tiền mặt nằm im mất giá theo lạm phát mỗi năm vài phần trăm, lại rủi ro trộm cắp, thất lạc. Gửi ngân hàng vừa an toàn vừa có lãi, rút 24/7 qua app nên chẳng có lý do gì giữ nhiều tiền mặt.","casual"
"Lương chỉ đủ ăn tiêu thì làm sao chi tiêu hợp lý đây?","Ghi lại mọi khoản chi trong một tháng xem tiền chảy đi đâu, hầu hết thủng ở ăn ngoài, cà phê, mua sắm online. Cắt các khoản không tạo ra giá trị, nấu ăn ở nhà và đặt hạn mức giải trí. Chỉ cần tiết kiệm được 5–10% là đã tốt hơn nhiều người cùng mức lương.","casual"
"Rút tiền tiết kiệm trước hạn có mất gì không?","Không mất phí nhưng lãi bị quy về lãi suất không kỳ hạn, gần như bằng không. Gửi 100 triệu sắp đủ 12 tháng mà rút sớm 1 ngày thì gần như mất toàn bộ tiền lãi. Nếu cần tiền gấp, thử vay cầm cố sổ tiết kiệm thay vì rút trước hạn để giữ lãi.","casual"
