"prompt","response","casual"
"Con 2 tuổi mè nheo đòi đồ chơi mỗi lần đi siêu thị, em nên phạt hay dỗ?","Đừng dỗ mà cũng đừng quát. Nói trước với con trước khi vào: hôm nay chỉ mua đồ cần thiết, nếu con đòi thì về. Khi con mè nheo, bế con ra chỗ vắng, ngồi xuống chờ con khóc xong rồi nói lại. Làm đúng 3-4 lần liên tục con sẽ hiểu khóc không có kết quả.","casual"
"Dạy con sai thì có nên đánh đòn không, em thấy đánh là nhanh nhất?","Đánh đòn dừng con ngay lúc đó nhưng dạy không được gì, thậm chí con học cách xử lý bằng bạo lực. Thay vào đó, tách con ra chỗ riêng, giải thích ngắn gọn con sai chỗ nào rồi bắt con sửa hậu quả. Kiên trì ít lâu con sẽ nghe hơn là đánh mỗi ngày.","casual"
"Con 3 tuổi cứ đòi bón mà không tự ăn, tập tự lập kiểu gì bây giờ?","Cho con tự ăn từng bước: trước tiên cho con cầm thìa tự múc, dù bẩn cứ để con làm. Khen khi con tự ăn được vài miếng, đừng chê bẩn. Bữa ăn giới hạn 30 phút, hết giờ thu bát dù con ăn ít. Đói 1-2 bữa con sẽ tự biết tự ăn.","casual"
"Khen con thế nào cho đúng, khen nhiều quá có hại không?","Đừng khen chung chung kiểu giỏi lắm, thông minh lắm. Khen đúng việc con làm: con tự dọn đồ chơi gọn ghẽ thật tuyệt, con kiên nhẫn xếp xong ngôi nhà đó giỏi quá. Khen quá trớn khiến con dựa dẫm vào lời khen. Khen quá trình và nỗ lực thì con tự tin thật.","casual"
"Giờ giấc sinh hoạt của con loạn hết cả, ăn ngủ thất thường, luyện lại kiểu gì?","Cứ chọn một mốc cố định, ví dụ 21 giờ ngủ, rồi tính ngược ra các bữa. Mỗi ngày dịch giờ về đúng lịch 15 phút, không thay đổi vào cuối tuần. Quan trọng là người lớn cũng phải theo lịch đó, con nhìn gương sẽ quen. Kiên trì 2-3 tuần là giờ giấc về nếp.","casual"
"Con hay nói dối, em nên đánh đòn hay dạy dỗ con?","Trước 5 tuổi trẻ nói dối thường chỉ vì sợ bị mắng hoặc tưởng tượng, đừng quy chụp con xấu. Hỏi con nhẹ nhàng vì sao con nói vậy, rồi nói rõ: mẹ buồn vì con không nói thật, nhưng con nói thật thì mẹ sẽ lắng nghe. Đánh đòn chỉ khiến con nói dối khéo hơn.","casual"
"Bé không chịu ngủ trưa, ép con ngủ có sao không?","Từ 3 tuổi nhiều trẻ bỏ ngủ trưa, không ép con được đâu, càng ép con càng chống lại. Thay bằng giờ nghỉ yên tĩnh: nằm im, nghe chuyện hoặc nhạc nhẹ, không chạy nhảy. Nếu con không ngủ nhưng tối ngủ đủ và không cáu gắt thì không cần bắt buộc.","casual"
"Con đánh bạn ở lớp, về nhà mình mắng chửi có được không?","Đừng mắng chửi khi mình chưa nghe hết chuyện. Hỏi con diễn biến, xem con đánh để tự vệ hay chủ động gây sự. Dù lý do gì cũng dạy con: tức giận là bình thường nhưng đánh nhau không giải quyết được gì. Bắt con xin lỗi bạn và nói cách xử lý khác khi tức.","casual"
"Dạy con biết nói xin lỗi và cảm ơn thế nào cho tự nhiên?","Đừng ép con nói khi con chưa hiểu, nó chỉ học thuộc lòng. Bố mẹ làm gương trước: nói cảm ơn khi con giúp, xin lỗi khi mình lỡ quát con. Khi con biết nói, khen ngắn gọn. Trẻ học từ hành vi của người lớn nhanh hơn nhiều so với nghe giảng.","casual"
"Con hư ở chỗ đông người, em xử lý ngay hay chờ về nhà mới nói?","Xử lý ngay nhưng nhẹ nhàng: bế con ra khỏi chỗ đông, ngồi xuống ngang tầm mắt và nói nhỏ. Đừng quát hay đánh giữa đám đông, con sẽ mất mặt và càng bướng. Sau đó về nhà, khi cả hai bình tĩnh, mới nói chuyện lại và đề ra hậu quả. Như vậy con nhớ lâu mà không bị tổn thương.","casual"
