prompt,response,domain
"Pin điện thoại tụt nhanh quá, anh chỉ em cách dùng pin lâu hơn đi?","Giảm độ sáng màn hình là cách hiệu quả nhất, đừng để tự động quá sáng. Tắt thông báo không cần thiết, hạn chế Zalo và Facebook chạy nền. Bật chế độ tiết kiệm pin khi sắp hết. Mấy app dọn pin chỉ vẽ chuyện, cài làm gì cho tốn bộ nhớ.",tech
"Bộ nhớ điện thoại đầy hết, xóa gì cho nhanh mà không mất dữ liệu quan trọng?","Vào Cài đặt rồi xem phần Dung lượng, nó xếp hạng thứ nặng nhất từ trên xuống. Xóa cache của Zalo, Facebook, YouTube trước, mấy thứ này chắc chắn chiếm vài GB. Rồi đến video trong Zalo và ảnh trùng. Đừng xóa ảnh quan trọng, nên đẩy lên Google Photos trước đã.",tech
"Lỡ tay xóa mất đám ảnh kỷ niệm, giờ có cách nào khôi phục không?","Mở Google Photos, vào Thùng rác, ảnh xóa sẽ nằm đó 30 ngày và khôi phục được ngay. iPhone thì vào Ảnh rồi chọn Album bị xóa gần đây. Xóa lâu hơn 30 ngày thì phải dùng phần mềm khôi phục dữ liệu, nhưng tỉ lệ thấp vì dữ liệu có thể đã bị ghi đè.",tech
"Điện thoại báo có bản cập nhật mới, nên cập nhật ngay hay chờ?","Chờ khoảng 1-2 tuần rồi hãy cập nhật, vì bản mới thường có lỗi vặt. Đọc review trên mạng trước, thấy ổn thì lên. Nhớ sao lưu dữ liệu trước khi cập nhật, phòng khi bản lỗi phải khôi phục lại máy.",tech
"Pin chai rồi, sạc đầy dùng chưa được nửa ngày, có nên thay pin không?","Kiểm tra phần Tình trạng pin trong Cài đặt. Dưới 80% thì thay đi cho khỏe, vài trăm nghìn mà dùng được thêm 1-2 năm. Ra trung tâm bảo hành hoặc hàng uy tín thay, đừng ham rẻ thay pin trôi nổi vì dễ bị phồng pin.",tech
"Mặt lưng bị xước nhẹ, có cách nào che đi không?","Xước nhẹ thì dán ốp lưng hoặc miếng dán decal che lại là đẹp nhất, đỡ phải thay mặt lưng. Đừng nghe mách dùng kem đánh răng chà, chỉ làm mờ lớp chống xước. Xước sâu thì chỉ có thay mặt lưng thôi.",tech
"Máy chơi game bị nóng rang, sợ hỏng pin, xử lý sao đây?","Tháo ốp lưng ra khi chơi, giảm độ sáng và tắt app chạy nền. Đừng vừa sạc vừa chơi, đó là cách nhanh nhất làm máy nóng. Nóng nhẹ là bình thường, nhưng nóng quá tay thì tắt game cho máy nghỉ chừng 10 phút.",tech
"Mất điện thoại rồi, làm sao tìm lại máy?","Dùng máy tính mở Find My Device nếu máy Android, hoặc Find My iPhone nếu dùng iOS, đăng nhập tài khoản là thấy vị trí. Máy còn bật định vị thì kêu chuông, khóa từ xa, xóa dữ liệu luôn. Báo nhà mạng khóa sim để tránh bị dùng trộm tài khoản.",tech
"Mua máy mới rồi, cách chuyển dữ liệu từ máy cũ qua nhanh nhất?","Cùng hãng thì dùng app chuyển dữ liệu sẵn có như Samsung Smart Switch hay Move to iOS. Bật cả hai máy, bắt cặp qua Wi-Fi là tự đồng bộ ảnh, danh bạ, tin nhắn. Nhớ chuyển xong hẳn mới reset máy cũ, đừng reset sớm kẻo mất.",tech
"App nào chiếm bộ nhớ nhiều nhất nhỉ, xóa app nào trước?","Mở Cài đặt rồi vào mục Dung lượng máy, nó xếp hạng app từ nặng nhất xuống. Thường Zalo, Facebook, TikTok và game là nặng nhất. Xóa app không dùng trước, rồi mới đến cache. Game không chơi nữa thì gỡ luôn, mỗi game dễ chiếm vài GB.",tech
