prompt,response,domain
Dạo này tôi cứ hay lo lắng trước khi đi ngủ dù chẳng có chuyện gì xảy ra. Làm sao để đầu óc tĩnh lại đây?,"Cảm giác đó quen lắm, tối về tĩnh thì đầu óc mới có thời gian khuếch đại mọi thứ. Hãy thử viết hết những điều đang bận tâm ra giấy trước khi tắt đèn, coi như trút ra ngoài để mai xử lý. Rồi hít thở chậm bốn giây vào, sáu giây ra trong vài phút. Não cần thời gian để học cách buông, đừng vội trách mình.",casual
"Mẹ tôi hay nhắc chuyện lấy chồng mỗi lần về quê, tôi nghe mà ngán lắm.","Chuyện đó ai trong độ tuổi này cũng từng nghe rồi. Thay vì cãi nhau, thử đổi hướng câu chuyện: kể cho mẹ nghe công việc, những việc con đang làm, hỏi thăm sức khỏe mẹ nhiều hơn. Khi mẹ thấy cuộc sống của con ổn định và hạnh phúc, mẹ sẽ bớt thúc. Còn nếu khó chịu quá, cứ vui vẻ nói dạ con đang tìm chứ, có người phù hợp con về khoe mẹ đầu tiên rồi chuyển chủ đề.",casual
Tôi bắt đầu công việc mới được một tháng mà cảm giác mình không hòa nhập được với đồng nghiệp.,"Một tháng chưa nói lên được gì, ai mới vào chỗ nào cũng lạc lõng kiểu đó. Hãy chủ động bắt chuyện nhỏ với một hai người: rủ đi ăn trưa, hỏi kinh nghiệm làm việc, khen họ đúng chỗ. Người Việt mình dễ gần, chỉ cần bạn mở lời trước. Quan trọng là đừng so sánh bản thân với người làm lâu năm, ai cũng từng là người mới.",casual
"Tiền lương tháng nào tôi cũng tiêu sạch, làm sao để tiết kiệm được bây giờ?","Bí quyết đơn giản là trả tiền cho chính mình trước: ngày nhận lương, chuyển ngay mười phần trăm sang một tài khoản tiết kiệm riêng mà không đụng tới. Rồi liệt kê chi tiêu hai tuần gần nhất để biết tiền đi đâu. Nhiều người nhận ra một khoản lớn rơi vào cà phê, ăn vặt hay ship đồ không cần thiết. Cắt bớt một thứ thôi là đã thấy khác biệt.",casual
Tôi hay thức khuya lướt điện thoại dù biết sáng mai phải dậy sớm. Làm sao bỏ thói quen này?,"Nghiện lướt đêm là cuộc chiến chung của cả thế hệ, đừng tự trách mình. Hãy biến việc bỏ điện thoại thành dễ dàng: để sạc ở phòng khách, mua đồng hồ báo thức truyền thống, đặt giờ tự khóa màn hình trên điện thoại. Thay thế bằng một cuốn sách giấy ngắn hoặc tắt đèn sớm hơn nửa tiếng. Hai tuần đầu sẽ vật vã, qua đó não tự điều chỉnh giờ ngủ.",casual
Tôi và bạn trai vừa cãi nhau to chỉ vì anh ấy quên sinh nhật tôi. Có quá đáng khi giận không?,"Bạn có quyền buồn, sinh nhật là ngày người ta mong được người thương nhớ đến. Nhưng cãi nhau vì một ngày rồi làm hỏng cả tuần thì không đáng. Hãy nói thẳng cảm giác của mình: em buồn vì anh quên, em cần anh quan tâm hơn thay vì trách móc. Nếu anh ấy xin lỗi chân thành và bù đắp, hãy cho cơ hội. Điều quan trọng không phải ngày đó, mà là người đó có học từ sai lầm không.",casual
"Gần đây tôi thấy người mệt mỏi, hay đau đầu và mất tập trung. Không biết có phải do thiếu ngủ không?","Triệu chứng bạn kể rất khớp với thiếu ngủ và căng thẳng kéo dài. Hãy kiểm tra trước thói quen: ngủ đủ bảy đến tám tiếng, uống đủ nước, giảm cà phê sau ba giờ chiều, nghỉ mắt sau mỗi tiếng nhìn màn hình. Nếu sau hai tuần điều chỉnh mà vẫn mệt, đừng chủ quan, đi khám để loại trừ vấn đề sức khỏe. Cơ thể có cách báo hiệu riêng, đừng lờ nó.",casual
"Tôi 27 tuổi mà bạn bè ai cũng có nhà có xe, còn tôi thì chưa có gì. Thấy sốt ruột lắm.","Đừng so sánh mình với tấm ảnh hạnh phúc người khác đăng mạng. Người có nhà có xe lúc này thường nhận hỗ trợ gia đình hoặc gánh khoản nợ to, bạn chỉ nhìn thấy phần nổi thôi. Mỗi người có nhịp đi khác nhau. 27 tuổi vẫn còn nhiều thời gian, hãy tập trung vào việc tăng thu nhập và tích lũy kỹ năng. Năm năm nữa nhìn lại, bạn sẽ thấy mình đã đi xa hơn nhiều so với lúc này.",casual
"Bố tôi vừa phát hiện bị tiểu đường, tôi cần hỏi cách chăm sóc để ông khỏe hơn.","Chăm người bệnh tiểu đường cần kiên nhẫn và khoa học. Ưu tiên hàng đầu là theo dõi đường huyết và dùng thuốc đúng giờ theo chỉ định bác sĩ. Chế độ ăn nên giảm tinh bột trắng, tránh nước ngọt, tăng rau xanh và cá. Khuyến khích ông đi bộ ba mươi phút mỗi ngày sau bữa ăn. Quan trọng nhất là tinh thần, đừng để ông thấy mặc cảm, cả nhà cùng ăn uống lành mạnh sẽ dễ hơn.",casual
Tôi luôn cảm thấy mình chưa đủ tốt dù đã cố gắng rất nhiều. Làm sao để yêu bản thân hơn?,"Cái cảm giác chưa đủ tốt thường đến từ việc bạn so sánh mình với cột mốc xa vời, không phải từ thực tế. Hãy tập ghi lại mỗi ngày ba điều nhỏ bạn làm được, dù chỉ là dọn phòng hay trả lời mail đúng hạn. Nhìn lại cuối tháng, bạn sẽ giật mình vì mình làm được nhiều hơn tưởng. Yêu bản thân không phải khen mình giỏi giang, mà là đối xử với mình dịu dàng như với người bạn thân.",casual
