prompt,response,domain
Tôi hay chủ động lắng nghe mọi người nhưng khi mình buồn lại chẳng biết chia sẻ cùng ai. Nên mở lòng với ai và bắt đầu từ đâu?,"Bạn xứng đáng được lắng nghe giống như cách bạn lắng nghe người khác. Hãy chọn người mà bạn tin tưởng và thấu hiểu, bắt đầu từ những chuyện nhỏ để làm quen với việc chia sẻ. Đừng sợ trở thành gánh nặng, bạn thân sẽ trân trọng sự tin tưởng của bạn. Nếu chưa tìm được người phù hợp, viết nhật ký hoặc tìm đến chuyên gia tâm lý cũng là cách hiệu quả. Mở lòng là kỹ năng cần luyện tập, cứ thử từng bước một.",casual
"Tôi ngồi máy tính liên tục, mắt mỏi và khô lắm. Có mẹo gì để bảo vệ mắt khi làm việc lâu không?","Áp dụng quy tắc 20-20-20: mỗi 20 phút nhìn xa 20 feet trong 20 giây để mắt được nghỉ. Điều chỉnh ánh sáng màn hình vừa mắt, tăng cỡ chữ cho thoải mái. Đảm bảo tư thế ngồi đúng và màn hình cách mắt khoảng 50-70cm. Dùng nước mắt nhân tạo nếu mắt khô, và nhớ chớp mắt thường xuyên. Cứ mỗi giờ đứng dậy vận động nhẹ, mắt và cơ thể sẽ đỡ mệt hơn hẳn.",casual
"Gia đình đang bàn chuyện mua nhà, tôi không biết nên góp ý thế nào vì sợ làm mất lòng. Nên nói sao cho phải?","Chuyện mua nhà là quyết định lớn, góp ý thẳng thắn nhưng xây dựng là điều nên làm. Bày tỏ quan điểm dựa trên tình hình tài chính thực tế thay vì cảm xúc, ví dụ: 'Nhà mình nên cân nhắc khả năng trả góp hàng tháng'. Lắng nghe quan điểm người khác và tìm tiếng nói chung. Đừng nhượng bộ chỉ để tránh mất lòng, mà hãy cùng nhau đưa ra quyết định sáng suốt. Gia đình tốt là khi mọi người cùng tiếng nói.",casual
"Tôi muốn làm thêm để có thu nhập phụ nhưng không biết chọn việc gì vừa sức, vừa không ảnh hưởng công việc chính.","Chọn việc làm thêm phù hợp với kỹ năng và quỹ thời gian của bạn: dạy kèm, viết lách, chụp ảnh, bán hàng online, hoặc làm freelance trong lĩnh vực chuyên môn. Đánh giá thời gian thực tế sau khi trừ công việc chính và nghỉ ngơi, đừng để làm thêm làm ảnh hưởng sức khỏe. Bắt đầu với khối lượng nhỏ để thử sức và xem có phù hợp không. Quan trọng là công việc phụ hợp pháp và không đụng chạm lợi ích công ty.",casual
"Ôn thi căng thẳng quá, tôi hay đau đầu và khó ngủ. Nên cân bằng học tập và nghỉ ngơi thế nào?","Kỳ thi không chỉ là kiến thức mà còn là trận đấu tinh thần. Hãy chia thời gian ôn tập hợp lý, mỗi ngày học theo khối nhỏ xen kẽ nghỉ ngơi, không nhồi nhét. Ngủ đủ 7-8 tiếng là điều kiện để não hoạt động tốt, không phải là phí thời gian. Vận động nhẹ và hít thở sâu khi căng thẳng. Nếu đau đầu liên tục, hãy giảm tải và cho cơ thể nghỉ. Cân bằng học tập và nghỉ ngơi chính là chìa khóa thi tốt.",casual
"Bạn thân của tôi mắc nợ vì lô đề, giờ nhờ tôi cầm giúp vài khoản. Tôi vừa thương vừa sợ. Phải xử lý sao?","Đây là tình huống tế nhị, hãy thận trọng. Lô đề là con đường nợ nần, cầm giúp bạn thân cũng là bạn chịu trách nhiệm chung. Trước khi quyết định, nói chuyện thẳng thắn với bạn ấy về hậu quả, và khuyên bạn ấy dừng lại. Nếu bạn quyết định hỗ trợ, hãy đặt giới hạn rõ ràng bằng số tiền bạn có thể mất và lập giấy tờ ràng buộc. Đồng thời nhờ người thân bạn ấy cùng can thiệp. Đừng để lòng thương biến thành gánh nặng kéo dài.",casual
"Tôi muốn trồng rau trên sân thượng để thư giãn, nhưng chưa biết bắt đầu với loại cây nào dễ sống.","Trồng rau trên sân thượng là thú vui tuyệt vời, hãy bắt đầu với các loại dễ sống như rau muống, xà lách, rau thơm, hoặc cải thìa. Chuẩn bị đất tơi xốp, thùng xốp có lỗ thoát nước, và nơi đủ nắng. Tưới nước đều mỗi sáng hoặc chiều mát. Chăm chút mỗi ngày sẽ thấy cây lớn lên, cảm giác rất thư giãn. Khi thu hoạch được mẻ đầu tiên, bạn sẽ thấy niềm vui bất ngờ từ công sức của mình.",casual
"Người yêu cũ của tôi công khai người mới, tôi thấy hụt hẫng dù chia tay đã lâu. Cảm giác này bình thường không?","Cảm giác hụt hẫng khi thấy người cũ có người mới là hoàn toàn bình thường, ngay cả khi đã chia tay lâu. Cảm xúc không có lịch trình, và nó không có nghĩa là bạn chưa sẵn sàng. Hãy cho phép bản thân cảm nhận rồi buông xuôi, đừng tự trách mình luyến tiếc. Nhớ lại lý do bạn chia tay và những điều tốt đẹp trong hiện tại. Khi bạn tập trung vào cuộc sống của mình, cảm giác này sẽ tự tan.",casual
"Tôi hay nói chuyện một mình để giải tỏa cảm xúc, liệu có phải dấu hiệu bất thường không? Tôi hơi lo.","Nói chuyện một mình là một trong những cách giải tỏa cảm xúc lành mạnh, nhiều người làm điều này mà không hề hay biết. Nó giúp bạn sắp xếp suy nghĩ và nhìn vấn đề rõ ràng hơn. Chỉ đáng lo khi bạn nghe thấy giọng nói không phải của mình hoặc mất kiểm soát hành vi. Còn nếu chỉ là tự độc thoại để suy ngẫm, thì đó là thói quen tốt, đừng lo lắng.",casual
"Cuối tuần tôi chỉ nằm lướt điện thoại cả ngày, xong lại thấy uổng phí thời gian. Có cách nào tận dụng cuối tuần tốt hơn?","Nằm lướt điện thoại cả ngày cuối tuần khiến bạn mệt và thấy thời gian trôi qua phí hoài. Hãy lên kế hoạch nhỏ cho cuối tuần từ thứ Sáu: một hoạt động ngoài trời, gặp gỡ bạn bè, hay làm việc yêu thích. Sắp xếp lịch nhưng đừng quá dày khiến áp lực. Đặt giới hạn thời gian lướt mạng cho mỗi ngày cuối tuần. Dần dần bạn sẽ thấy cuối tuần có ý nghĩa hơn và sẵn sàng cho tuần mới.",casual
