prompt,response,domain
Làm sao phục hồi file đã xóa trong git trước khi commit?,"Nếu file đã từng được commit và chưa push thay đổi mới, chạy `git checkout -- file.txt` hoặc `git restore file.txt` để khôi phục về trạng thái cuối cùng đã lưu. Nếu xóa rồi vô tình commit luôn, dùng `git revert` commit đó. Nếu file chưa từng commit thì khó khôi phục, vì vậy nên commit thường xuyên hoặc dùng trình soạn thảo có tính năng local history.",tech
Git stash dùng để làm gì?,"Stash tạm cất các thay đổi chưa commit để chuyển nhánh hoặc làm việc khác, rồi lấy lại sau. `git stash` lưu thay đổi và làm sạch thư mục, `git stash pop` lấy lại và áp dụng vào nhánh hiện tại, `git stash list` xem danh sách. Lưu nhiều phiên bản bằng `git stash save ""mo ta""`. Tránh stash quá nhiều vì dễ lộn xộn, nên commit thay vì stash khi có thể.",tech
"Nhánh main của tôi bị lỗi, làm sao đưa về trạng thái của commit ổn định trước?","Chạy `git log --oneline` để tìm hash commit ổn định. Nếu chưa push, dùng `git reset --hard <hash>` để đưa toàn bộ về đúng trạng thái đó, lưu ý lệnh này xóa thay đổi chưa lưu. Nếu đã push, dùng `git revert <hash>` để tạo commit đảo ngược, an toàn cho đồng đội. Tốt hơn nữa là phát hiện sớm qua test tự động trước khi merge.",tech
Làm sao gộp nhiều commit liền nhau thành một commit duy nhất?,"Dùng interactive rebase: `git rebase -i HEAD~n` với n là số commit muốn gộp. Trong danh sách hiện ra, đổi chữ pick của các commit cần gộp thành squash (trừ commit đầu giữ pick), lưu lại rồi sửa thông điệp. Nếu các commit đã push lên remote, cần force push `git push --force-with-lease`, chỉ làm khi là nhánh riêng của bạn để tránh gây rối cho đồng đội.",tech
Sự khác nhau giữa git merge và git rebase?,"Merge tạo ra một commit hợp nhất ghi lại điểm giao của hai nhánh, giữ nguyên lịch sử, an toàn và dễ hiểu với đội nhóm. Rebase lấy các commit của nhánh hiện tại và đặt lại lên đỉnh nhánh khác, lịch sử thành đường thẳng sạch hơn nhưng viết lại commit nên nguy hiểm nếu nhánh đã dùng chung. Dùng merge cho nhánh chung, rebase cho nhánh cá nhân trước khi tạo pull request.",tech
Làm sao xem nội dung thay đổi của một file trước khi commit?,"Chạy `git diff` để xem mọi thay đổi chưa staged, `git diff --staged` để xem thay đổi đã thêm vào staging. Giới hạn một file bằng `git diff -- file.txt`. Nếu muốn xem từng dòng thay đổi trong lịch sử, dùng `git log -p -- file.txt`. Dùng `git diff --stat` để xem tóm tắt số dòng thay đổi ở từng file.",tech
"Tôi cần tìm một dòng code đã bị xóa cách đây lâu, làm sao?","Dùng `git log -S'chuỗi cần tìm' --oneline` để tìm commit đã thêm hoặc xóa chuỗi đó. Sau khi có hash commit, chạy `git show <hash>` để xem chi tiết thay đổi. Nếu tìm theo chuỗi nhiều ký tự, thêm `--pickaxe-regex`. Cách khác là dùng `git log --all --oneline -- file.txt` để xem toàn bộ lịch sử của file đó, kể cả khi file đã xóa khỏi nhánh hiện tại.",tech
Trình soạn thảo code nào phổ biến và nên chọn cái nào?,"VS Code là lựa chọn phổ biến nhất hiện nay, miễn phí, hệ sinh thái extension khổng lồ. IntelliJ IDEA mạnh cho Java/Kotlin, PyCharm tốt cho Python, đều có bản Community miễn phí. Neovim và Emacs dành cho người thích dòng lệnh, học lâu hơn nhưng tùy biến cực cao. Người mới nên bắt đầu với VS Code trước rồi khám phá thêm.",tech
Terminal và shell khác nhau như thế nào?,"Terminal là chương trình hiển thị giao diện dòng lệnh, ví dụ Windows Terminal, Terminal trên macOS. Shell là chương trình thực thi lệnh bên trong terminal: bash, zsh trên Linux/macOS, PowerShell trên Windows. Bạn gõ lệnh vào terminal, shell đọc rồi thực hiện. Nên làm quen với cả shell phổ biến vì cú pháp khác nhau: bash dùng $var và lệnh Unix, PowerShell dùng $var nhưng cmdlet khác hẳn.",tech
Làm sao chạy một tác vụ lặp lại mỗi ngày trên máy tính?,"Trên Windows dùng Task Scheduler: tạo Basic Task, chọn lịch lặp lại hàng ngày, trỏ tới chương trình hoặc script cần chạy. Trên Linux/macOS dùng cron: thêm dòng vào `crontab -e`, ví dụ `0 9 * * * /path/to/script.sh` chạy lúc 9 giờ mỗi ngày. Kiểm tra script hoạt động đúng trước khi đặt lịch, và ghi log đầu ra để dễ phát hiện lỗi khi chạy tự động.",tech
