prompt,response,domain
Sự khác nhau chính giữa React và Vue khi chọn framework?,"React của Facebook linh hoạt cao, hệ sinh thái lớn, dùng JSX và chọn thư viện bên ngoài tùy ý. Vue thân thiện với người mới, tài liệu rõ ràng, tích hợp sẵn router và quản lý state qua Pinia. Cả hai đều mạnh: cần cộng đồng và cơ hội việc rộng chọn React, cần học nhanh và code gọn chọn Vue.",tech
"Trong React, props và state khác nhau thế nào?","`props` là dữ liệu cha truyền xuống con, chỉ đọc, component con không tự sửa được. `state` là dữ liệu nội bộ của component, thay đổi qua `useState` hoặc `setState`, khi đổi thì component tự render lại. Nguyên tắc chung: dữ liệu chảy từ trên xuống qua props, state chỉ đặt ở component thực sự sở hữu và cần thay đổi.",tech
Làm sao gọi API trong React để hiển thị danh sách dữ liệu?,"Dùng `useEffect` gọi API khi component mount: bên trong gọi `fetch(url)`, parse JSON rồi lưu vào `useState`. Khai báo biến loading để hiện trạng thái chờ, dùng khối try-catch bắt lỗi mạng. Nhớ kèm dependency array rỗng `[]` để chỉ gọi một lần, tránh gọi lặp vô hạn khi render lại.",tech
"Tôi nghe nói hook chỉ dùng trong functional component, vì sao?","Vì hook dựa trên thứ tự gọi trong lần render để gắn state cho từng hook. Functional component có vòng đời rõ ràng và render nhanh, còn class component dùng cơ chế khác qua `this` và lifecycle methods. Do đó React quy định hook không dùng trong class, hàm thường, vòng lặp hay điều kiện để giữ thứ tự ổn định.",tech
Vue dùng v-model để làm gì?,"`v-model` tạo liên kết hai chiều giữa ô nhập và biến dữ liệu: người dùng gõ thì biến cập nhật, biến đổi trong code thì ô nhập tự đổi theo. Nội bộ nó là cú pháp ngắn của `:value` cộng `@input`. Dùng nhiều trong form, checkbox, radio, select. Với component tự tạo cần khai báo prop `modelValue` và phát sự kiện `update:modelValue`.",tech
Cách tối ưu render danh sách dài trong React không bị chậm?,"Dùng virtual scrolling: chỉ render phần tử trong vùng nhìn thấy, thư viện phổ biến `react-window` hoặc `react-virtualized`. Truyền `key` ổn định cho từng item, bọc component con trong `React.memo` khi props ít thay đổi, tránh tạo hàm mới mỗi lần render không cần thiết. Cách này giảm đáng kể công việc cho React.",tech
Tại sao trình duyệt báo lỗi khi dùng key trùng trong danh sách React?,"Vì `key` là cách React nhận diện từng phần tử để cập nhật hiệu quả. Key trùng khiến React không biết phần tử nào thay đổi, gây bug hiển thị và cảnh báo trong console. Hãy dùng id duy nhất của dữ liệu làm key, tránh dùng index vì khi sắp xếp hoặc thêm xóa, các phần tử bị gắn nhầm state.",tech
Muốn chia một component Vue thành nhiều phần nhỏ thì làm sao?,"Tạo component con riêng trong `components`, nhận dữ liệu qua `props`, phát sự kiện lên cha bằng `$emit`. Component cha import rồi khai báo trong `components` và dùng như thẻ HTML. Giữ mỗi component chỉ làm một việc, dùng `defineProps` và `defineEmits` với `<script setup>` cho cú pháp ngắn gọn.",tech
Webpack và Vite khác nhau ở điểm nào khi build frontend?,"Vite dùng esbuild bundle nhanh, khởi động dev server gần như tức thì nhờ tận dụng ES modules gốc của trình duyệt. Webpack mạnh và cấu hình chi tiết, hệ sinh thái plugin lớn nhưng khởi động và build chậm hơn với dự án lớn. Dự án mới ngày nay thường chọn Vite vì nhanh và cấu hình đơn giản.",tech
Làm sao chia sẻ dữ liệu giữa nhiều component không liên quan trong React?,Dữ liệu nhỏ dùng chung cục bộ thì đẩy state lên component cha chung rồi truyền xuống qua props. Phức tạp hơn dùng Context API với `createContext` và `useContext`. Ứng dụng lớn cân nhắc Redux Toolkit hoặc Zustand. Đừng vội dùng thư viện state khi chỉ cần nâng state lên cha là đủ.,tech
