prompt,response
"Lương 8 triệu ở thành phố làm sao mà sống nổi với tiền nhà với ăn uống?","Sống được nếu chia tiền ra quỹ rõ ràng: nhà tối đa 3 triệu nếu share phòng hoặc ở trọ xa trung tâm, ăn uống tự nấu mỗi ngày 60-80k là đủ, chi phí sinh hoạt gộp 1.5 triệu, còn lại bỏ ống heo. Đừng trả tiền cho thú vui đắt đỏ hằng tuần, mua đồ ở chợ thay vì cửa hàng tiện lợi, sống thực dụng một năm đầu thì năm sau khá lên.",
"Làm sao để hết cái tật mua sắm bốc đồng mỗi lần thấy sale?","Đặt luật 24 giờ: thấy món muốn mua thì ghim vào giỏ, đóng app đi, hôm sau quay lại xem còn muốn không. Mua sắm bốc đồng là mua để thỏa cảm xúc chứ không phải mua vì cần, nên nhận diện đúng lý do là cắt được. Cài thẻ vào giỏ hàng thôi mà không bấm thanh toán, thèm đến mấy cũng để qua đêm, tỉnh dậy hết 80% cơn nghiện.",
"So sánh giá giữa Shopee và chợ trời cho đồ tiêu dùng hằng ngày, cái nào rẻ hơn?","Tùy món. Đồ tươi sống như rau, thịt, cá thì chợ trời rẻ hơn và tươi hơn, shop online cộng phí ship với phí đóng gói là không còn rẻ. Còn đồ khô, gia vị, giấy vệ sinh, nước rửa chén thì online rẻ hơn vì mua số lượng lớn được sale và miễn ship. Chiêu tối ưu: thực phẩm tươi đi chợ, đồ thiết yếu tích trữ thì mua online lúc có mã giảm giá.",
"Mua đồ cũ thay vì đồ mới có đáng không, hay chỉ thấy xấu hổ?","Đáng tiền, đừng thấy xấu hổ. Đồ điện tử, xe cộ, tủ lạnh mua lại của người khác còn dùng tốt có khi rẻ nửa giá, xấu hổ đâu có giúp mày giàu lên được. Kiểm tra kỹ lỗi, mặc cả, mua của người dùng thật chứ đừng mua của thợ sửa đồ vì họ tráo linh kiện. Chỉ cần đồ còn 70% giá trị dùng mà giá chỉ còn 40% là mày đang có lời rồi.",
"Đi chợ thế nào để mua rẻ mà vẫn chất lượng, mẹ hay bị chém giá?","Đi chợ lúc sắp tan chợ 11h trưa hoặc chiều muộn là rẻ nhất vì người bán muốn xả hàng, nhưng rau hơi héo thì nên đi sáng mà chọn mối quen. Mặc cả kiểu vui vẻ chứ đừng kì kèo quá, hỏi ''bớt chút cho em đi cô'', thường bớt được 5-10k một món. Mua theo mớ, theo cân thay vì mua từng món lẻ, càng mua nhiều càng được giá tốt.",
"Cuối tháng đã hết tiền mà lại đụng dịp sinh nhật bạn, phải xử lý sao?","Đừng mượn tiền hay cà thẻ để quà đẹp hơn túi tiền. Món quà tự làm hoặc chọn đồ giá 100-150k mà tâm lý thật còn hơn món 500k rút thẻ. Nếu đã lỡ hết tiền thì chia sẻ thẳng với bạn ''tháng này em đang kẹt, qua tháng bù'', bạn thân thiệt thì không nề hà. Bài học là phải có quỹ riêng cho quà cáp trong ngân sách chứ đừng để sự kiện bất ngờ đá bay cả tháng.",
"Làm sao tách biệt nhu cầu và sở thích khi mua đồ, để không bị cuốn theo?","Đặt câu hỏi trước khi thanh toán: cái này thiếu nó có chết không, có món nào đang thay thế được không. Nhu cầu là thứ thiếu là bất tiện ngay lập tức như thức ăn, thuốc men, sửa xe, còn sở thích là thứ ''có thì vui hơn'' như giày mới, máy ảnh, đồ trang trí. Viết ra giấy hoặc ghi chú trên điện thoại danh sách nhu cầu tháng, mua đúng list, còn sở thích thì để cuối tháng còn dư tiền mới tính.",
"Chạy deal khuyến mãi đồ điện máy, có phải lúc nào cũng thực sự rẻ?","Không, khuyến mãi điện máy phần lớn chỉ là chiêu ''tặng quà đi kèm'' chứ giá máy gần như không đổi. Họ gộp thêm quạt, nồi cơm, phiếu mua hàng để khách thấy ''lời'', nhưng mày chỉ cần một cái máy. Muốn rẻ thiệt thì săn hàng tồn kho đời cũ khi đời mới ra mắt, hoặc đồ trưng bày giảm giá sâu, còn mua theo mùa khuyến mãi lớn như cuối năm mới gặp giá tốt.",
"Tiết kiệm bằng cách mua đồ xách tay nước ngoài về có thực sự rẻ không?","Rẻ nhưng phải tính đủ: giá hàng xách tay thường bằng giá chính hãng cộng thêm phí xách tay và rủi ro bị bắt thuế, bảo hành thì tự lo. Có món rẻ thiệt là giày, quần áo, mỹ phẩm khi nước ngoài sale to, nhưng món điện tử thì đừng mua xách tay vì không bảo hành chính hãng. Muốn rẻ bền thì tính tổng chi phí sở hữu, đừng nhìn mỗi con số mua vào rồi than trời khi máy hỏng không ai nhận.",
"Cho em vài chiêu chi tiêu thông minh để hết cảnh cháy túi đầu tháng?","Đầu tháng nhận lương là bỏ ngay vào tài khoản riêng khoản tiết kiệm trước đã, 10-20% lương, rồi mới xài phần còn lại, tiền không thấy là không tiêu. Lập ngân sách theo bao thư ảo: tiền nhà, ăn uống, đi lại, giải trí mỗi khoản một giới hạn, vượt quá thì thôi chờ tháng sau. Theo dõi chi tiêu bằng app hoặc sổ tay mỗi tuần, chỉ 5 phút nhưng đủ để nhận ra tiền chảy đi đâu mà cắt giảm.",
