prompt,response,domain
"Sự khác nhau giữa SQL và NoSQL, chọn cái nào cho dự án mới?","SQL dùng bảng, schema cố định, quan hệ rõ ràng, giao dịch ACID mạnh, phù hợp đơn hàng, tài chính, dữ liệu cấu trúc. NoSQL như MongoDB, Redis linh hoạt schema, mở rộng ngang dễ, hợp lý cho log, IoT, dữ liệu phi cấu trúc. Đa số dự án khởi đầu nên dùng SQL; chỉ chọn NoSQL khi có nhu cầu cụ thể về tốc độ hoặc dữ liệu linh hoạt.",tech
LEFT JOIN khác gì INNER JOIN trong SQL?,"INNER JOIN chỉ trả về dòng khớp ở cả hai bảng. LEFT JOIN trả về toàn bộ dòng của bảng bên trái, dòng không khớp sẽ điền NULL ở cột bảng phải. Ví dụ lấy danh sách khách hàng kèm đơn hàng: LEFT JOIN thấy cả khách chưa từng mua, INNER JOIN chỉ thấy khách đã mua hàng.",tech
Làm sao chống tiêm SQL khi viết truy vấn trong ứng dụng?,"Luôn tham số hóa câu truy vấn thay vì nối chuỗi dữ liệu người dùng. Trong Python dùng dấu ? với sqlite3 hoặc %s với psycopg2, truyền giá trị làm tham số riêng. Trong PHP dùng prepared statement với PDO. Ngoài ra giới hạn quyền tài khoản kết nối database, không dùng quyền admin, và validate dữ liệu đầu vào trước khi xử lý.",tech
Chỉ mục (index) trong database hoạt động thế nào?,"Index giống mục lục cuốn sách: database xây cấu trúc phụ (thường B-tree) trên một cột để tìm nhanh thay vì quét toàn bảng. Dùng index cho cột xuất hiện trong WHERE, JOIN, ORDER BY. Nhưng index làm chậm INSERT/UPDATE vì phải cập nhật đồng thời, nên chỉ tạo ở cột cần thiết, đừng lạm dụng.",tech
GROUP BY kết hợp COUNT dùng để làm gì?,"GROUP BY nhóm các dòng cùng giá trị theo một cột, rồi dùng hàm tổng hợp tính trên từng nhóm. Ví dụ `SELECT khuvuc, COUNT(*) FROM khachhang GROUP BY khuvuc;` cho biết số khách hàng ở từng khu vực. Kết hợp HAVING để lọc nhóm sau khi tính, ví dụ chỉ lấy nhóm có count lớn hơn 5.",tech
MongoDB lưu dữ liệu theo cấu trúc nào?,"MongoDB lưu theo dạng document JSON, mỗi document là một bản ghi có thể có các trường khác nhau, nhóm trong collection giống bảng SQL. Không cần định nghĩa schema trước, dễ thêm trường khi phát triển. Document lồng nhau giúp lưu dữ liệu liên quan cùng một nơi. ObjectId được dùng làm khóa chính tự động.",tech
Sự khác nhau giữa SELECT DISTINCT và GROUP BY?,"SELECT DISTINCT loại bỏ dòng trùng lặp và trả về giá trị duy nhất. GROUP BY cũng nhóm theo giá trị nhưng cho phép kết hợp hàm tổng hợp như COUNT, SUM, AVG trên từng nhóm. Chỉ cần danh sách giá trị khác nhau thì dùng DISTINCT; cần thống kê số lượng hay tổng theo nhóm thì dùng GROUP BY.",tech
Làm sao lấy 10 bản ghi mới nhất trong một bảng SQL?,"Dùng ORDER BY theo cột thời gian giảm dần rồi giới hạn số dòng. MySQL: `SELECT * FROM bai_dang ORDER BY ngay_tao DESC LIMIT 10;`. PostgreSQL dùng LIMIT, SQL Server dùng `SELECT TOP 10 ...`, Oracle dùng `FETCH FIRST 10 ROWS ONLY`. Nên có index trên cột ngày để truy vấn nhanh khi bảng lớn.",tech
Tôi nên lưu mật khẩu trong database như thế nào cho an toàn?,"Tuyệt đối không lưu mật khẩu dạng văn bản thuần hoặc dùng MD5/SHA1 vì bị tra ngược. Dùng hàm băm chuyên cho mật khẩu như bcrypt, argon2 hoặc scrypt, mỗi mật khẩu tự sinh salt riêng. Trong Python dùng thư viện bcrypt hoặc argon2-cffi. Khi kiểm tra đăng nhập chỉ so sánh giá trị băm, không lưu mật khẩu gốc.",tech
Soft delete và hard delete khác nhau thế nào trong database?,"Hard delete xóa hẳn dòng bằng DELETE, dữ liệu không khôi phục trừ khi có backup. Soft delete chỉ đánh dấu đã xóa bằng cột như `deleted_at`, bản ghi vẫn nằm trong bảng và truy vấn bình thường phải lọc thêm điều kiện. Soft delete hữu ích để khôi phục và audit, nhưng cần tránh trùng khóa duy nhất với dòng đã xóa.",tech
