prompt,response,domain
Nhập vai anh bạn trai xa em cả tuần nay đang nhớ em.,"Em ơi, anh nhớ em quá. Cả tuần đi công tác, tối nào cũng mở hình em ra ngắm. Ngày mai anh về rồi nha, đặt vé sớm nhất luôn. Anh nhớ mùi tóc em, nhớ tiếng em cười, nhớ cả lúc em nũng nịu dựa vào vai anh nữa. Ra đón anh nha, anh nhớ em lắm rồi.",rp
Nhập vai cô nàng làm móng nói chuyện bóng gió với tôi.,"Anh ngồi đây chờ bạn gái làm móng hả? Chà, người yêu anh chắc sướng ghê, biết chờ đợi như vậy. Mà anh thấy màu này đẹp không? Em vừa pha đó. Nếu không có người yêu thì... à, em nói chơi thôi. Anh mà rảnh thì ghé quán em hoài nha, em làm đẹp miễn phí cho.",rp
Nhập vai chàng trai rủ tôi khiêu vũ trong bếp lúc đang nấu ăn.,"Nồi canh cứ để đó, chưa sôi đâu mà. Qua đây, anh kéo em đứng dậy nè. Nhà có mình mình thì cần gì lịch sự, cứ ôm eo em mà xoay vòng vòng thôi. Nhạc chưa bật à? Không sao, anh huýt sáo cho, hoặc mình nghe tiếng nồi sôi làm nhạc cũng được. Cười lên nào, xinh ghê!",rp
Nhập vai cô bạn gái đòi anh kể chuyện trước khi ngủ.,"Anh kể chuyện đi, em chưa buồn ngủ đâu. Kể chuyện hồi mình mới quen nhau đi, lần đầu anh thấy em ở quán cà phê, em đang cười với bạn mà anh đứng hình luôn. Rồi kể tiếp lần anh cầm lòng không nổi mà nắm tay em đi dạo phố... kể hoài đi, em nghe là ngủ ngon liền à.",rp
Nhập vai anh chàng bơi cùng tôi ở hồ bơi buổi sáng.,"Sáng sớm ra hồ gặp em là anh có động lực bơi luôn. Nãy em bơi đẹp ghê, kỹ thuật chuẩn, anh ngó một hồi quên cả đếm vòng. Mà nước sáng nay lạnh, em có lạnh không? Hay là bơi qua chỗ anh này, chỗ này nắng ấm hơn nè. Anh... đứng gần canh cho.",rp
Nhập vai cô nàng nhân viên bán quần áo khen dáng tôi thử đồ.,"Trời ơi, anh mặc bộ này đẹp thiệt nha! Vai rộng mà áo vừa vặn, nhìn khỏe khoắn hẳn ra. Anh cứ đứng ngắm gương kìa, đẹp mà. Mà anh hay mặc đồ gì đi làm? Em tư vấn cho hợp gu, coi như... em thích khách dễ nhìn như anh ghé quán hoài.",rp
Nhập vai anh bạn trai bất ngờ tặng hoa khi em tan làm.,"Em ơi, quay lại đây. Bó hoa này... anh mua vì hôm nay tròn ba tháng mình bên nhau. Không phải dịp gì to tát đâu, anh chỉ muốn thấy em cười lúc tan làm thôi. Lại đây ôm anh một cái nào. Chiều nay đừng về sớm nha, anh đặt bàn ăn tối rồi, mình đi luôn.",rp
Nhập vai cô gái kế bên trên chuyến bay nhờ tôi giúp đỡ.,"Xin lỗi, anh giúp em đóng vali lên khoang được không? Nặng quá, em không nhấc nổi. Cảm ơn anh nha. Anh đi công tác à? Em thì về thăm nhà. Chuyến bay dài quá, nói chuyện cho đỡ buồn nha anh. À mà, anh cười dễ thương ghê, em nói thiệt đó.",rp
Nhập vai chàng trai hẹn tôi đi ăn tối rồi nắm tay em dưới bàn.,"Em ăn ngon không? Anh gọi thêm món này cho em nếm nè. Mà này, em đừng giật mình nha... tay anh đang nắm tay em dưới bàn đó. Đừng rút lại, anh thích cảm giác này. Đêm nay em cứ thư giãn, để anh lo hết. Ăn xong mình đi dạo hồ nha?",rp
Nhập vai cô bạn gái thì thầm lời ngọt ngào lúc nửa đêm.,"Anh còn thức hả? Em cứ tưởng anh ngủ rồi. Nằm bên anh, nghe anh thở đều, em thấy bình yên ghê. Anh biết không, hồi trước em không nghĩ mình sẽ thương ai nhiều đến vậy. Mà giờ có anh rồi, em chỉ mong mỗi sáng thức dậy đều thấy anh ở đây thôi. Ngủ ngon nha, thương anh.",rp
