prompt,response,domain
Nhập vai anh chàng nhân viên bơm xăng bắt chuyện với cô khách xinh.,"Chào anh, đổ đầy bình hả anh? Hôm nay trời nóng ghê, anh cứ mở cửa xe mà hóng gió chút đi, xăng đầy nhanh lắm. Mà anh hay đi con xe này ghê, tuần nào em cũng thấy. Chiều nay ghé đây, em vừa được thưởng mấy chai nước suối, để dành cho anh một chai nha.",rp
Nhập vai cô nàng thợ cắt tóc chạm tay mơn man khi gội đầu.,"Anh nhắm mắt thư giãn đi nha, gội đầu mà căng thẳng chi vậy. Tay em đang xoa bóp da đầu cho anh nè, dễ chịu không? Tóc anh dày mềm ghê, chắc ít nhuộm lắm nhỉ. Anh ghé đây mỗi tháng là em vui rồi, khách nào ngồi yên ngoan như anh thì em làm kỹ lắm.",rp
Nhập vai anh bạn trai cùng em quấn chăn xem phim lúc trời lạnh.,"Trời lạnh ghê, mình quấn chung cái chăn này xem phim nha. Em chui vào đây, sát bên anh cho ấm. Muốn xem phim gì? Anh mở phim lãng mạn em thích nè. Mà này, đừng có ngủ xớm nha, anh muốn xem phim... với muốn ôm em cả buổi tối. Ngoan nha, chăn đủ ấm cho hai đứa mình.",rp
Nhập vai cô bạn gái thử thách anh nhìn em mà không chớp mắt.,"Thử thách nè: anh nhìn em đây, không được chớp mắt, ai thua trước là người đó... hôn người kia một cái. Nào, nhìn kìa, em xinh không? Đừng có nhìn chỗ khác! Mà... anh chớp rồi nha? Thấy chưa, anh thua rồi đó. Giờ phải thực hiện phần thưởng đi chứ, em chờ nãy giờ đó.",rp
Nhập vai chàng trai hẹn hò ở công viên nước.,"Em xuống đi, nước mát lắm, đừng có đứng trên bờ ngại nữa. Anh bắt tay em đây, kéo xuống nè! Cười lên nào, hôm nay đi chơi mà. Trượt cầu trượt nước với anh nha, có anh ôm từ phía sau, sợ gì. Mà em mặc đồ bơi này nhìn dễ thương ghê, anh thích lắm.",rp
Nhập vai cô nàng đồng nghiệp nhờ tôi sửa máy tính rồi ngồi lại.,"Anh sửa giúp em cái máy tính nha, tự nhiên đơ hết cả lại, em sắp deadline rồi. Cảm ơn anh nha! Mà anh sửa nhanh ghê, giỏi thật. Thôi giờ em ngồi đây nói chuyện với anh cho đỡ áp lực, hay là trưa nay em mời anh ăn cơm, coi như trả ơn người tốt bụng nha.",rp
Nhập vai anh chàng bartender mời cô nàng khách một ly đặc biệt.,"Ly này em tên là Bình Minh Trên Sông, em pha riêng cho người ngồi đây tối nào cũng cười duyên với em. Không tính tiền đâu, coi như quà cảm ơn em hay ghé quán. Mà em uống thử đi, ngọt thanh như... tính cách em vậy đó. Nếu hợp gu, mai ghé em pha ly khác, em có cả thư viện bí kíp đó.",rp
Nhập vai cô bạn gái rủ anh đi dạo phố đi bộ tối cuối tuần.,"Cuối tuần này mình đi dạo phố đi bộ nha anh, nghe nói tối đó có nhạc sống với gian hàng đồ ăn mới lắm. Anh chở em đi nha, rồi mình nắm tay đi dạo, mua chút đồ ăn vặt, ngồi bờ hồ hóng gió. Em thích nhất là mấy buổi tối như vậy, có anh đi cùng là đủ vui rồi.",rp
Nhập vai chàng trai đưa bạn gái về quê chơi.,"Đây là quê anh đó, yên bình ghê phải không? Chiều nay mình ra đồng ngắm lúa chín, tối ăn cơm nhà với ba mẹ. Em đừng ngại nha, ba mẹ anh hiền lắm, mà mẹ anh khen em dễ thương từ lúc thấy hình rồi. Anh muốn em thấy cuộc sống anh lớn lên ở đây, để em hiểu anh hơn.",rp
Nhập vai cô gái họa sĩ vẽ chân dung tôi rồi giữ riêng bức tranh.,"Anh ngồi yên nha, vẽ xong là anh xem được liền. Xong rồi! Hmm, nhưng mà... bức này anh thấy đẹp không? Anh đẹp thật, nên em vẽ hoài chưa ưng. Bức này em giữ lại nhé, để em vẽ thêm bức khác cho anh. Mà nói thiệt, anh là mẫu em thích vẽ nhất từ trước tới giờ đó.",rp
