prompt,response
"Làm sao để săn sale 11.11 trên Shopee mà không bị hớ?","Đừng có mua ngay lúc 0h, dân săn sale đều biết giá rẻ nhất thường rơi vào 20h-23h vì voucher live của shop phát ra giờ đó. Cắm sẵn mã giảm giá, so sánh giá trước 1 tuần bằng nút theo dõi, giá nào nhảy xuống đúng đáy thì chốt. Sale 11.11 chủ yếu đẩy đồ tồn kho, nên ưu tiên đồ gia dụng, thời trang, đừng tin mấy deal ''giảm 90%'' vì toàn nâng giá khống lên rồi giảm xuống.",
"Tui thấy mã giảm giá trên Lazada toàn ''ảo ma'', có cách nào xài thiệt không?","Mã giảm giá Lazada ảo là vì mày thấy đúng mã nhưng không đọc điều kiện tối thiểu, thường là đơn 500k mới giảm 50k. Vào trước 10h sáng nhận voucher miễn phí vận chuyển, chọn mặt hàng đang có badge ''deal sốc'', gộp nhiều món của cùng shop để đủ hóa đơn. Còn loại mã ''giảm 50% tối đa 30k'' thì xài cho món nào rẻ tầm 60k là tối ưu nhất.",
"Nghe nói mua hàng trên Shopee xài Live là rẻ nhất, đúng không?","Đúng vậy, giá live thường rẻ hơn giá niêm yết 10-20% vì chủ shop phát mã giảm giá trong lúc phát sóng để kéo lượng xem. Vào live sớm 5 phút để xem họ úp mã gì, món nào có flash sale thì nhấn giữ chỗ trước. Nhưng coi chừng hàng live hay là đồ mẫu cũ hoặc hàng trả lại, nên xem kỹ video đánh giá rồi hãy xuống tiền.",
"Shopee xu mà đòi giá rẻ hơn chỗ khác, có nên tin không?","Tin được nhưng phải soi kỹ. Giá rẻ bất thường thường kèm phí ship cắt cổ hoặc là hàng fake kém chất lượng. Lật qua phần đánh giá 1 sao đọc, xem shop mới mở bao nhiêu ngày, có bảo hiểm hoàn tiền không. Mua được thì chọn thanh toán khi nhận hàng, hàng dỏm thì không nhận, tiền không mất.",
"Muốn đặt hàng nước ngoài trên Shopee nhưng sợ bị chặn hải quan, phải làm sao?","Chọn shop có gắn badge ''Chính hãng'' và đã có sẵn hàng trong kho Việt Nam để tránh bị chặn. Hàng xách tay gửi trực tiếp từ nước ngoài thì chịu khó khai báo đúng giá trị, đơn dưới 1 triệu thường không bị đánh thuế. Món dễ vỡ thì hỏi shop có gói chống sốc không, kẻo về tay vỡ nát.",
"Cách nào biết cái áo trên Shopee đang sale thật hay sale ảo?","So sánh giá qua công cụ theo dõi giá hoặc ghim giá trong giỏ hàng trước đó. Sale ảo là họ tăng giá gốc lên gấp đôi trước 2 tuần rồi sale về đúng giá cũ, mày tưởng rẻ chứ thực ra là giá gốc. Nếu thấy đồ cùng mẫu trên chợ trời, Temu hay các shop khác có giá thấp hơn cả ''giá sale'' thì đừng mua, cái gốc của nó đã rẻ như vậy rồi.",
"Hoàn tiền Shopee có dễ lấy không, hay phải vật lộn với support?","Hoàn tiền dễ nếu mày làm đúng bước: đừng nhấn ''Đã nhận hàng'' khi chưa kiểm tra, quay video mở hộp từ lúc băng keo chưa bóc. Khiếu nại trong 2 ngày đầu, gửi clip kèm ảnh chụp rõ lỗi. Shopee xử lý nhanh vì họ hưởng lợi khi giữ niềm tin, đa số hoàn về ví trong 3-5 ngày, không cần phải cãi nhau đâu.",
"Vào 12.12 hay 11.11 thì nên săn gì cho đỡ tiếc tiền?","11.11 thiên về đồ công nghệ và thời trang vì các hãng đổ hàng tồn ra, còn 12.12 mạnh về đồ dùng nhà cửa, mỹ phẩm và thực phẩm vì cuối năm ai cũng tất toán kho. Đợt nào cũng có voucher cộng dồn, nhưng 12.12 ít phải giằng co về mã hơn vì ít người săn. Mua đồ công nghệ chờ 11.11, đồ gia dụng chờ 12.12 là chuẩn bài.",
"Có nên mua hàng flash sale 0h trên Lazada để được giá tốt không?","Có nhưng đừng mua mù mịt. Flash sale 0h thường chỉ giảm vài phần trăm trên đồ bình thường, mấy món ''đen'' mới giảm sâu mà toàn hàng tồn kho lâu. Vào xem lịch flash sale trước 1 ngày, ghim món mình cần, so giá ngoài chợ xem rẻ thật không. Mua món cần dùng thật thì chốt, còn mua vì thấy rẻ thì sớm muộn cũng hối.",
"Săn voucher Shopee bằng chơi mini game có phí thời gian không?","Phí nhưng phí ít hơn mua đúng giá. Trò nuôi thú, nông trại, thu thập xu tặng voucher thì dành lúc rảnh vừa làm vừa chạy chứ đừng ngồi cày mấy tiếng, công nó không đáng. Voucher kiếm được thường có hạn xài trong 24h nên phải sắp sẵn giỏ hàng trước, có mã là chốt liền, để lâu hết hạn thì phí công.",
