prompt,response,domain
Nhập vai anh chàng làm vườn tặng tôi đóa hoa tự trồng.,"Đóa hoa này anh tự trồng đó, từ lúc gieo hạt tới giờ. Thấy nó nở đẹp, anh chỉ muốn tặng cho người đẹp nhất khu này. Là em đó, đừng có giả vờ không biết. Trồng hoa mà có người để tặng thì mới vui. Mà em thích loại nào? Anh trồng thêm, để mỗi sáng em có hoa tươi trong phòng.",rp
Nhập vai cô nàng chủ quán cà phê ưu tiên chỗ ngồi cho tôi.,"Chỗ ngồi quen của anh nè, em giữ sẵn rồi, chỗ cửa sổ nhìn ra phố anh thích. Hôm nay vẫn ly cà phê sữa đá chứ? Em pha sẵn luôn rồi nè. Anh cứ ngồi đây thoải mái, hôm nào tới em đều để ý, khách quen mà, phải ưu tiên đặc biệt chứ.",rp
Nhập vai anh bạn trai đưa em đi ăn sáng trước giờ làm.,"Dậy đi em, anh chở đi ăn sáng rồi đưa em đi làm luôn nha. Quán bánh cuốn em thích sáng nay mở sớm đó, đi là kịp. Anh gọi sẵn phần em rồi, có thêm chút chả lụa em hay thích. Ăn sáng đầy đủ rồi đi làm mới khỏe. Mà này, hôm nay em mặc gì cũng đẹp, nhanh lên nha.",rp
Nhập vai cô bạn gái rủ anh ngủ nướng thêm chút rồi nũng nịu.,"Đừng dậy mà anh, ngủ thêm chút nữa đi. Ngoài kia trời lạnh, trong chăn này ấm mà có em nữa. Anh ôm em thêm mười phút nữa nha, hứa rồi dậy liền. Mà anh đừng cười, em nũng nịu vậy là vì thương anh đó. Thôi, coi như hôm nay mình ăn sáng trễ một chút, ở nhà nấu mì ăn chung nha.",rp
Nhập vai chàng trai rủ tôi đi xem pháo hoa đầu năm.,"Đêm giao thừa đi xem pháo hoa với anh nha. Anh kiếm được chỗ ngồi đẹp trên cầu, nhìn pháo hoa bung rực cả trời luôn. Mình mang theo chút đồ ăn, ngồi đếm ngược với nhau. Anh nghe nói đầu năm mà ở bên người mình thương thì cả năm sẽ may mắn đó. Em đi với anh nha?",rp
Nhập vai cô nàng chạm mắt tôi suốt buổi họp rồi nhắn tin.,"Nãy giờ họp mà em cứ nhìn anh hoài, không tập trung nổi luôn. Giờ gửi tin này cho anh nè: anh có biết anh cười lúc họp dễ thương lắm không? Mà anh đừng trả lời lớn tiếng nha, người ta thấy. Trưa nay em qua bàn anh trò chuyện chút nha, coi như bàn chuyện công việc... chuyện riêng cũng có.",rp
Nhập vai anh chàng bán bánh mì nịnh cô khách quen buổi sáng.,"Chào cô, bánh mì của cô đây nha, cô dặn ít ớt nhiều rau thơm, em nhớ hết đó. Sáng nào cô cũng ghé, em nhìn là biết gu rồi. Mà cô dễ thương ghê, sáng sớm mà cười tươi vậy, ai nhìn cũng vui lây. Cô đi làm vui nha, mai ghé em làm phần đặc biệt hơn cho.",rp
Nhập vai cô bạn gái rủ anh tắm mưa chung vì quên mang ô.,"Mưa to quá, mình quên mang ô rồi. Hay là... mình chạy về luôn nha anh? Ướt thì ướt, về nhà tắm lại là xong. Mà nói tắm mới nhớ, anh về trước tắm trước đi, em tắm sau, đừng có... à thôi, đùa chút cho đỡ sợ mưa. Chạy thôi anh, nắm tay em nè, đừng để lạc nhau!",rp
Nhập vai chàng trai cùng tôi nấu lẩu ở nhà tối thứ Bảy.,"Tối thứ Bảy ở nhà nấu lẩu với nhau nha, mua đồ sẵn hết rồi. Anh thích lẩu gì? Thịt bò với nấm, thêm rau tươi là ngon. Hai đứa ngồi ăn lẩu, coi phim, nói chuyện tới khuya. Mà nấu lẩu ăn ở nhà vui hơn ra hàng nhiều, vì có anh nêm nếm gia vị cho hợp khẩu vị em mà.",rp
Nhập vai cô nàng bán sách cũ kể chuyện và khen tôi chọn sách hay.,"Cuốn này anh chọn hay ghê, em đọc rồi, kết thúc bất ngờ lắm nha. Mà anh hay mua sách văn học ghê, nhìn là biết người có tâm hồn. Em bán sách cũ này lâu rồi, khách nào như anh thì em vui lắm, vì sách gặp đúng người đọc. Anh rảnh thì ghé quán em trò chuyện, em kể anh nghe chuyện mấy cuốn sách hay.",rp
