"prompt","response"
"Tôi muốn đặt mục tiêu lớn cho năm nay nhưng sợ không làm nổi rồi thất vọng. Nên đặt thế nào?","Đừng đặt mục tiêu kiểu mơ mộng, hãy đặt theo đơn vị hành động được. Thay vì giỏi tiếng Anh, đặt mỗi ngày 20 phút. Mục tiêu nhỏ đến mức khó bỏ lỡ, làm liên tục, sau đó mới mở rộng. Thành công lớn là chuỗi ngày nhỏ cộng lại, không phải một cú nhảy."
"Tôi không có kỷ luật, đặt ra thói quen được ba ngày là bỏ. Có phải tôi yếu bản lĩnh?","Không phải. Gần như chẳng ai gắn thói quen mới được ngay, do cách tiếp cận sai. Giảm cường độ xuống mức lố bịch: chạy hai phút, đọc một trang. Giữ được chuỗi ngày mới quan trọng. Và đừng bẻ cong luật: bỏ một ngày không phải thất bại, thất bại là ngừng hẳn. Quay lại ngay hôm sau."
"Em muốn học thêm kỹ năng mới nhưng không biết bắt đầu từ đâu, sợ học lan man phí thời gian.","Học theo dự án, đừng học theo giáo trình dài. Chọn một sản phẩm nhỏ muốn làm ra, rồi học đúng thứ cần để làm nó. Kiến thức dính với việc thật thì nhớ và thú vị hơn hẳn. Xong dự án đầu tiên là em có đà. Đừng lo sai, làm rồi mới hiểu mình thiếu gì."
"Tôi thấy mình chững lại suốt hai năm qua, muốn bứt phá nhưng không biết vượt giới hạn bản thân kiểu gì.","Bứt phá không phải làm việc gì vĩ đại ngay, mà là làm khó hơn mức thoải mái một chút mỗi ngày. Vùng thoải mái co giãn rất nhanh. Chọn một việc anh từng né, làm nó dù sợ. Cảm giác không chết được, nhưng hối tiếc vì không dám thì sống dai lắm. Thử đi."
"Làm sao để học hỏi được từ người giỏi hơn mình mà không thấy tự ti?","Đừng ngồi đó tự ti, hãy tiếp cận để xin học. Người giỏi thường sẵn lòng chia sẻ với người biết lắng nghe và làm theo. Trước khi hỏi, hãy tự tìm hiểu trước, rồi hỏi đúng chỗ còn mơ hồ. Tự ti biến mất khi anh chuyển từ so sánh sang học hỏi. Quan sát cách họ làm, rồi bắt chước có chọn lọc."
"Em cứ hay trì hoãn, biết là phải làm nhưng cứ dạt ra chơi điện thoại mãi. Có cách nào chữa không?","Trì hoãn không phải lười, là né cảm giác khó chịu khi bắt đầu. Mẹo là thu nhỏ bước đầu cho nhẹ: mở file ra, viết ba dòng là được nghỉ. Não thấy việc nhỏ thì hết muốn chạy. Cộng thêm: cất điện thoại khỏi tầm tay trong giờ làm. Bắt đầu được là thắng phần lớn trận rồi."
"Tôi có nên bỏ việc đang ổn định để theo đuổi đam mê không? Sợ lỡ thì hối hận.","Đừng đốt cầu, hãy bắc thêm cầu. Trước khi bỏ việc, thử theo đuổi đam mê như dự án phụ trong sáu tháng: làm ngoài giờ, kiểm chứng xem nó có ra tiền và ra sản phẩm thật không. Nếu có, mới chuyển hẳn. Hối hận thật sự không đến từ việc đi chậm, mà đến từ việc nhảy bừa rồi mất sạch đà."
"Tôi muốn giỏi hơn người nhưng lại ngại thể hiện, cứ giữ trong đầu thôi. Phải làm sao để bước ra?","Năng lực giấu kín không đổi được gì đâu. Bắt đầu từ môi trường an toàn: góp ý trong nhóm nhỏ, viết và đăng một bài chia sẻ, nhận làm một phần việc nhỏ trước mặt mọi người. Mỗi lần thể hiện là một lần bớt ngại. Người giỏi mà không ai thấy, khác nào viên ngọc giấu trong rương."
"Em thấy bạn bè ai cũng hơn em ở vài khoản, em có nên chạy theo học hết những thứ đó không?","Không. Học hết những thứ người khác giỏi là chạy theo bóng ai, không bao giờ bắt kịp. Chọn một hướng em có thế mạnh hoặc yêu thích nhất, đào sâu đến mức có thể gọi tên được thành quả. Một người giỏi một trò còn đáng sợ hơn người giỏi lơ mơ mười trò. Tập trung, đừng tán."
"Tôi đã ngoài ba mươi, giờ bắt đầu lại một hướng mới có phải quá muộn không?","Quá muộn chỉ tồn tại trong đầu anh thôi. Kiến thức và kinh nghiệm cũ không bỏ phí, chúng là nền để học nhanh hơn người trẻ. Ba mươi mấy tuổi bắt đầu lại là chuyện thường ở Việt Nam. Điều duy nhất đáng tiếc là hối tiếc. Chậm một chút còn hơn đứng yên nhìn mười năm nữa trôi qua."
