prompt,response
"Đà Lạt nhìn từ đồi cao vào lúc sáng sớm, những nóc nhà mái thấp lẫn trong biển mây trắng, núi thông xanh bao quanh, ánh mặt trời ấm lên dần, thành phố như nổi giữa bồng lai","sweeping landscape, Đà Lạt city viewed from a high hill in the early morning, low rooftops emerging from a sea of white clouds, pine-covered hills surrounding the city, warm sunrise light gradually warming the rooftops, cool blue mist in the valleys, foreground pine treetops and rolling hill, midground city with red tiled roofs floating on the cloud sea, background soft mountain silhouette, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Nha Trang lúc bình minh nhìn từ trên cao, bờ biển uốn cong hình vòng cung, từng dãy resort hiện đại dọc bờ, mặt nước xanh biếc, ánh nắng vàng chiếu rọi, mây điểm xuyết","sweeping landscape, Nha Trang bay aerial view at sunrise, curved coastline forming a gentle arc, rows of modern beach resorts along the shore, turquoise water gently lapping the sand, golden morning light across the beach, scattered soft clouds, foreground white sand with gentle waves, midground palm trees and resort buildings, background deep blue ocean fading into the sky, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Khu rừng nhiệt đới nguyên sinh mưa sớm, những tán cây cao ken đặc, ánh sáng lọt qua kẽ lá chiếu xuống tạo lốm đốm, dây leo chằng chịt, không khí ẩm ướt mù mịt","sweeping landscape, dense virgin tropical rainforest after the morning rain, towering canopy blocking most light, sunbeams filtering through the leaves creating scattered light spots, thick tangled vines hanging between huge trunks, humid fog rising from the damp floor, vibrant deep green tones, foreground ferns and wet leaves, midground massive tree trunks wrapped in vines, background layered canopy, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Vịnh Lăng Cô đổ xuống hoàng hôn, mặt nước phản chiếu bầu trời cam đỏ rực, những dãy núi xa trập trùng, bọt sóng trắng vỗ nhẹ vào bờ cát","sweeping landscape, Lăng Cô bay at sunset, the water mirroring a fiery orange and crimson sky, layered mountain ridges in the distance, gentle white foam washing onto the long sandy beach, sailing boats silhouetted on the horizon, warm golden glow across everything, foreground wet sand reflecting the sky colors, midground colorful sky reflection on water, background dark mountain shapes, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Đồng bằng rộng mênh mông vụ lúa chín vàng, từng luống lúa nghiêng theo gió, đường làng nhỏ uốn lượn chạy dài, vài người nông dân đội nón lá gặt lúa","sweeping landscape, vast flat delta with golden ripe rice fields stretching to the horizon, rice stalks bending in the wind, a narrow village pathway winding through the paddies, a few farmers in conical hats harvesting rice, late afternoon warm sunlight, deep shadows across the swaying grain, foreground bending rice stalks in detail, midground farmers and path, background endless yellow field with distant village, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Đỉnh Fansipan phủ tuyết lúc bình minh, lớp tuyết dày óng ánh, những rặng núi trùng điệp trải dài bên dưới, sương mù dâng lên từ thung lũng tạo biển mây","sweeping landscape, Fansipan peak covered in white snow at sunrise, thick sparkling snow blanket on the summit, endless mountain ranges stretching below, fog rising from the valleys forming a sea of clouds, golden sunlight hitting the snowy ridge, cold blue shadows on the slopes, foreground icy snow crystals, midground rocky snowy peak, background valleys drowned in clouds, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Bãi đá cẩm thạch trắng trải dài bên bờ biển xanh, những khối đá mịn tuyệt đẹp được sóng đánh gọt giũa, nước biển trong veo, ánh nắng chan hòa, bọt sóng bắn lên trắng xóa","sweeping landscape, pristine white marble stone beach beside a clear blue sea, smooth beautiful marble rocks polished by the waves, crystal clear shallow water revealing the rock texture, bright midday sunlight, white foam splashing against the stones, foreground wet marble reflecting light, midground turquoise water and scattered stones, background open ocean and rocky headland, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Cánh đồng hoa dại đủ màu nở rộ trên đồi xanh, gió lay nhẹ những bông hoa, chim sẻ bay ngang trời, ánh sáng vàng nhạt buổi chiều tà, xa xa là rừng thông","sweeping landscape, vibrant wildflower meadow covering a rolling green hill, countless colorful flowers swaying gently in the breeze, small birds flying across the sky, soft golden late afternoon light, a pine forest in the far distance, rich saturated colors of red, yellow and purple blooms, foreground detailed flowers in sharp focus, midground sea of blossoms, background green hill and pine treeline, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Sa mạc đêm mùa sao băng, bầu trời đen thăm thẳm đầy sao, một vệt sao băng rạch ngang, cồn cát vàng im lìm dưới trăng, ánh trăng bạc phủ lên cát","sweeping landscape, desert under a starry meteor shower night, deep black sky packed with stars, a bright meteor streak slashing across the sky, silent golden sand dunes under the moonlight, silver moonlight washing over the rippled sand, a thin crescent moon on the horizon, cool blue and silvery tones, foreground moonlit sand dunes folding in shadow, midground star field reflected on the dunes, background deep space with galaxies, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
"Thác nước nhỏ chảy qua khu rừng già thưa sáng, dòng nước trắng xóa đổ vào hồ tròn trong vắt, cây bụi xanh mướt quanh bờ, hạt nước lấp lánh dưới nắng, rêu đá phủ dầy","sweeping landscape, a small waterfall cascading through a sunlit old forest, white water pouring into a clear round pool, lush green shrubs lining the banks, water droplets sparkling in the sunlight, moss-covered rocks at the pool edge, soft dappled light filtering through tall trees, foreground mossy stones and ferns, midground falling water and pool, background dense green forest, wide angle, epic scale, ultra realistic, 8k, masterpiece, best quality, highly detailed. Negative prompt: blurry, low quality, overexposed, oversaturated, watermark, text, people"
